layer,dir_prep,fn_data,ingest,name_data_fld
ao_closures,ohibc:prep/ao/v2017/output,ao_closures.csv,TRUE,days_avg
ao_licenses,ohibc:prep/ao/v2017/output,ao_licenses.csv,TRUE,pct_fn
ao_licenses_fn_pop,ohibc:prep/ao/v2017/output,ao_licenses_fn_pop.csv,TRUE,pct_fn_pop
ao_salmon,ohibc:prep/ao/v2017/output,ao_salmon.csv,TRUE,stock_status
ao_spawn_hab_index,ohibc:prep/ao/v2017/output,ao_spawn_hab_index.csv,TRUE,shi_tot
aq_benthic,ohibc:prep/mar/v2017/output,prs_aq_benthic.csv,TRUE,prs_benthic
aq_incidental,ohibc:prep/mar/v2017/output,prs_aq_incidental.csv,TRUE,prs_incidental
aq_mammals,ohibc:prep/mar/v2017/output,prs_aq_mammals.csv,TRUE,prs_mammals
aq_regulation,ohibc:prep/mar/v2017/output,res_aq_regulations.csv,TRUE,resilience_score
cc_acid,ohibc:prep/_pressures/v2017/output,prs_oa_layer.csv,TRUE,pressure
cc_slr,ohibc:prep/_pressures/v2017/output,prs_slr_layer.csv,TRUE,pressure
cc_sst,ohibc:prep/_pressures/v2017/output,prs_sst_layer.csv,TRUE,pressure
cc_uv,ohibc:prep/_pressures/v2017/output,prs_uv_layer.csv,TRUE,pressure
cp_cf_health,ohibc:prep/hab_cs_cp/v2017/output,cp_cf_exposure.csv,TRUE,cf_expos_area_tot
cp_sm_health,ohibc:prep/hab_cs_cp/v2017/output,cp_sm_exposure.csv,TRUE,sm_expos_area_tot
cs_cf_health,ohibc:prep/hab_cs_cp/v2017/output,cs_cf_area.csv,TRUE,cf_area_km2
cs_sm_health,ohibc:prep/hab_cs_cp/v2017/output,cs_sm_area.csv,TRUE,sm_area_km2
cwbi_all,ohibc:prep/_resilience/v2017/output,cwb_score_all.csv,TRUE,cwb_score
cwbi_fn,ohibc:prep/_resilience/v2017/output,cwb_score_fn.csv,TRUE,cwb_score
element_wts_ao_components,ohibc:calc_ohibc/master/dummy_layers,element_wts_ao_components.csv,TRUE,ao_comp_status
element_wts_cp_km2_x_exposure_x_protection,ohibc:calc_ohibc/master/dummy_layers,element_wts_cp_km2_x_exposure_x_protection.csv,TRUE,cp_km2_x_exposure_x_protection
element_wts_cs_km2_x_storage,ohibc:calc_ohibc/master/dummy_layers,element_wts_cs_km2_x_storage.csv,TRUE,cs_km2_x_storage
element_wts_hab_pres_abs,ohibc:calc_ohibc/master/dummy_layers,element_wts_hab_pres_abs.csv,TRUE,hab_presence
fis_ram_b_bmsy,ohibc:prep/fis/v2017/output,ram_b_bmsy.csv,TRUE,value
fis_ram_catch,ohibc:prep/fis/v2017/output,ram_catch.csv,TRUE,value
fis_ram_f_fmsy,ohibc:prep/fis/v2017/output,ram_f_fmsy.csv,TRUE,value
fis_stock_area,ohibc:prep/fis/v2017/output,ram_stock_area.csv,TRUE,a_prop
fp_fis_discards,ohibc:prep/_pressures/v2017/output,prs_discards_fish_layer.csv,TRUE,pressure
fp_fis_landings,ohibc:prep/_pressures/v2017/output,prs_landings_fish_layer.csv,TRUE,pressure
fp_trawl_reduction,ohibc:calc_ohibc/master/dummy_layers,fp_habitat_gl2016.csv,TRUE,resilience_score
fp_biomass_removal,ohibc:prep/_resilience/v2017/output,fp_fishing_regs.csv,TRUE,score
fp_mpa_coast,ohibc:prep/lsp/v2017/output,mpa_pct_3nm.csv,TRUE,pct_prot
fp_mpa_eez,ohibc:prep/lsp/v2017/output,mpa_pct_eez.csv,TRUE,pct_prot
fp_wildcaught_weight,calc_ohibc/master/dummy_layers,fp_wildcaught_wt.csv,TRUE,fp_weight
hab_ebsa_health,ohibc:prep/hab_cs_cp/v2017/output,hab_ebsa_trawl.csv,TRUE,trawled_area
hab_sb_health,ohibc:prep/hab_cs_cp/v2017/output,hab_soft_btm_trawl.csv,TRUE,mean_hr_area
hab_sm_health,ohibc:prep/hab_cs_cp/v2017/output,hab_sm_area.csv,TRUE,sm_area_km2
hd_trawl_reduction,ohibc:calc_ohibc/master/dummy_layers,hd_habitat_gl2016.csv,TRUE,resilience_score
hd_intertidal,ohibc:prep/_pressures/v2017/output,prs_hd_intertidal.csv,TRUE,pressure
hd_mpa_coast,ohibc:prep/lsp/v2017/output,mpa_pct_3nm.csv,TRUE,pct_prot
hd_mpa_eez,ohibc:prep/lsp/v2017/output,mpa_pct_eez.csv,TRUE,pct_prot
hd_subtidal_sb,ohibc:prep/_pressures/v2017/output,prs_hd_soft_btm.csv,TRUE,pressure
hd_mining,ohibc:prep/_pressures/v2017/output,prs_mining.csv,TRUE,pressure
hd_logging,ohibc:prep/_pressures/v2017/output,prs_logging.csv,TRUE,pressure
ico_spp_presence,ohibc:prep/spp_ico/v2017/output,ico_spp_by_rgn.csv,TRUE,rgn_id
ico_spp_risk_score,ohibc:prep/spp_ico/v2017/output,ico_risk_by_year.csv,TRUE,risk_score
ico_spp_trend,ohibc:prep/spp_ico/v2017/output,ico_trend_by_id.csv,TRUE,iucn_pop_trend
le_income_fn,ohibc:prep/le/v2017/output,le_income_fn.csv,TRUE,median_income
le_unempl_fn,ohibc:prep/le/v2017/output,le_unempl_fn.csv,TRUE,mean_unempl
le_income_nonfn,ohibc:prep/le/v2017/output,le_income_nonfn.csv,TRUE,median_income
le_unempl_nonfn,ohibc:prep/le/v2017/output,le_unempl_nonfn.csv,TRUE,mean_unempl
lsp_prot_area_inland_ws,ohibc:prep/lsp/v2017/output,lsp_protected_inland_ws.csv,TRUE,a_prot_inland
lsp_prot_area_offshore3nm,ohibc:prep/lsp/v2017/output,lsp_protected_offshore3nm.csv,TRUE,a_prot_3nm
lsp_tot_area_inland_ws,ohibc:prep/lsp/v2017/output,lsp_a_total_inland_ws.csv,TRUE,a_tot_inland
lsp_tot_area_offshore3nm,ohibc:prep/lsp/v2017/output,lsp_a_total_offshore3nm.csv,TRUE,a_tot_3nm
mar_harvest_tonnes,ohibc:prep/mar/v2017/output,aq_harvest.csv,TRUE,harvest_tonnes
mar_potential,ohibc:prep/mar/v2017/output,aq_potential.csv,TRUE,potential
mar_tenure_areas,ohibc:prep/mar/v2017/output,aq_areas.csv,TRUE,area_km2
po_chemical,ohibc:prep/cw/v2017/output,po_chemical.csv,TRUE,chem_pressure
po_chemical_3nm,ohibc:prep/cw/v2017/output,po_chemical_3nm.csv,TRUE,chem_pressure
po_nutrient,ohibc:prep/cw/v2017/output,po_nutrient.csv,TRUE,nutr_pressure
po_nutrient_3nm,ohibc:prep/cw/v2017/output,po_nutrient_3nm.csv,TRUE,nutr_pressure
po_pathogen,ohibc:prep/cw/v2017/output,po_pathogen.csv,TRUE,path_pressure
po_trash,ohibc:prep/cw/v2017/output,po_trash.csv,TRUE,trash_pressure
po_water,ohibc:calc_ohibc/master/dummy_layers,po_water_gl2016.csv,TRUE,resilience_score
rgn_areas,ohibc:prep/_spatial/v2017/output,rgn_areas.csv,TRUE,area_km2
rgn_labels,ohibc:prep/_spatial/v2017/output,rgn_labels.csv,TRUE,rgn_name
sal_stock_status,ohibc:prep/sal/v2017/output,sal_stock_status.csv,TRUE,stock_status
sp_alien,ohibc:prep/_pressures/v2017/output,prs_inv_spp.csv,TRUE,pressure
sp_genetic,ohibc:prep/_pressures/v2017/output,prs_genesc.csv,TRUE,pressure
species_diversity_3nm,ohibc:prep/spp_ico/v2017/output,spp_status_3nm.csv,TRUE,status
species_diversity_eez,ohibc:prep/spp_ico/v2017/output,spp_status_eez.csv,TRUE,status
spp_pop_trends,ohibc:prep/spp_ico/v2017/output,spp_trend_by_id.csv,TRUE,iucn_pop_trend
spp_range_areas,ohibc:prep/spp_ico/v2017/output,spp_area_by_rgn.csv,TRUE,spp_pct_area
spp_risk_scores,ohibc:prep/spp_ico/v2017/output,spp_risk_by_year.csv,TRUE,risk_score
ss_cwbi_all,ohibc:prep/_resilience/v2017/output,ss_cwb_score_all.csv,TRUE,ss_cwb_score
ss_cwbi_fn,ohibc:prep/_resilience/v2017/output,ss_cwb_score_fn.csv,TRUE,ss_cwb_score
tr_park_visits,ohibc:prep/tr/v2017/output,park_visits.csv,TRUE,visits_wt
tr_vis_ctr_visits,ohibc:prep/tr/v2017/output,vis_ctr_visits.csv,TRUE,visits
