" ","score","status","future"
"Index",66.16,,69.89
"Food Provision",55.55,50.12,60.98
". Fisheries",59.85,54,65.71
". Mariculture",14.49,13.11,15.88
"Artisanal Fishing Opportunity",83.36,75.27,91.45
"Natural Products",29.99,28.2,31.79
"Carbon Storage",54.82,50.16,59.49
"Coastal Protection",96.21,92.41,100
"Tourism & Recreation",10.25,9.74,10.76
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",45.77,42.41,49.12
". Iconic Species",66.17,61.88,70.47
". Lasting Special Places",25.36,22.95,27.77
"Clean Waters",95.71,91.42,100
"Biodiversity",89.93,84.53,95.32
". Habitats",92.59,85.17,100
". Species",87.27,83.9,90.64
